id,trial,answer,pred,response
KIIP_economy_1,0,C,B,B
KIIP_economy_2,0,A,A,A
KIIP_economy_3,0,C,C,C
KIIP_economy_4,0,D,D,D
KIIP_economy_5,0,C,C,C
KIIP_economy_6,0,B,B,B
KIIP_economy_7,0,B,B,B
KIIP_economy_8,0,A,A,A
KIIP_economy_9,0,C,A,A
KIIP_economy_10,0,C,C,C
KIIP_economy_11,0,D,A,A
KIIP_economy_12,0,A,A,A
KIIP_economy_13,0,C,C,C
KIIP_economy_14,0,C,C,C
KIIP_economy_15,0,D,C,C
KIIP_economy_16,0,A,A,A
KIIP_economy_17,0,A,A,A
KIIP_economy_18,0,C,C,C
KIIP_economy_19,0,A,A,A
KIIP_economy_20,0,B,A,A
KIIP_economy_21,0,B,A,A
KIIP_economy_22,0,C,C,C
KIIP_economy_23,0,C,B,B
KIIP_economy_24,0,B,B,B
KIIP_economy_25,0,A,A,A
KIIP_economy_26,0,C,B,B
KIIP_economy_27,0,A,A,A
KIIP_economy_28,0,D,D,D
KIIP_economy_29,0,A,A,A
KIIP_economy_30,0,A,A,A
KIIP_economy_31,0,A,A,A
KIIP_economy_32,0,A,A,A
KIIP_economy_33,0,A,A,A
KIIP_economy_34,0,A,A,A
KIIP_economy_35,0,A,A,A
KIIP_economy_36,0,C,C,C
KIIP_economy_37,0,B,B,B
KIIP_economy_38,0,A,A,A
KIIP_economy_39,0,A,A,A
KIIP_economy_40,0,C,C,C
KIIP_economy_41,0,C,C,C
KIIP_economy_42,0,A,A,A
KIIP_economy_43,0,B,B,B
KIIP_economy_44,0,A,A,A
KIIP_economy_45,0,A,A,A
KIIP_economy_46,0,B,B,B
KIIP_economy_47,0,A,A,A
KIIP_economy_48,0,A,A,A
KIIP_economy_49,0,A,A,A
KIIP_economy_50,0,A,A,A
KIIP_economy_51,0,B,A,A
KIIP_economy_52,0,D,D,D
KIIP_economy_53,0,B,C,C
KIIP_economy_54,0,B,B,B
KIIP_economy_55,0,B,B,B
KIIP_economy_56,0,A,A,A
KIIP_economy_57,0,B,B,B
Kedu_economy_1,0,C,C,C
Kedu_economy_2,0,D,D,D
CSAT_geography_06_2,0,E,D,D
CSAT_geography_07_2,0,B,D,D
CSAT_geography_07_3,0,E,A,A
CSAT_geography_07_4,0,B,B,B
CSAT_geography_07_5,0,B,C,C
CSAT_geography_07_6,0,E,E,E
CSAT_geography_09_2,0,D,B,B
CSAT_geography_09_3,0,B,B,B
CSAT_geography_09_4,0,D,D,D
CSAT_geography_09_5,0,D,D,D
CSAT_geography_10_2,0,A,A,A
CSAT_geography_10_3,0,B,D,D
CSAT_geography_10_4,0,D,D,D
CSAT_geography_11_2,0,D,B,B
CSAT_geography_11_3,0,A,E,E
CSAT_geography_12_2,0,D,D,D
CSAT_geography_13_2,0,A,C,C
CSAT_geography_15_2,0,B,D,D
CSAT_geography_16_2,0,A,B,B
CSAT_geography_16_3,0,D,D,D
CSAT_geography_17_2,0,A,B,B
CSAT_geography_17_3,0,C,B,B
CSAT_geography_18_2,0,C,C,C
CSAT_geography_19_2,0,A,B,B
CSAT_geography_19_3,0,C,C,C
CSAT_geography_20_2,0,D,D,D
CSAT_geography_21_2,0,B,B,B
CSAT_geography_22_2,0,D,A,A
CSAT_geography_22_3,0,C,C,C
CSAT_geography_22_4,0,C,C,C
KIIP_geography_1,0,C,C,C
KIIP_geography_2,0,B,B,B
KIIP_geography_3,0,B,B,B
KIIP_geography_4,0,D,D,D
KIIP_geography_5,0,C,C,C
KIIP_geography_6,0,D,D,D
KIIP_geography_7,0,C,C,C
KIIP_geography_8,0,B,B,B
KIIP_geography_9,0,C,C,C
KIIP_geography_10,0,A,A,A
KIIP_geography_11,0,B,B,B
KIIP_geography_12,0,B,B,B
KIIP_geography_13,0,A,A,A
KIIP_geography_14,0,A,A,A
KIIP_geography_15,0,B,B,B
KIIP_geography_16,0,B,B,B
KIIP_geography_17,0,A,A,A
KIIP_geography_18,0,A,C,C
KIIP_geography_19,0,D,D,D
KIIP_geography_20,0,A,A,A
KIIP_geography_21,0,A,A,A
KIIP_geography_22,0,A,A,A
KIIP_geography_23,0,A,A,A
KIIP_geography_24,0,B,B,B
KIIP_geography_25,0,C,C,C
KIIP_geography_26,0,D,B,B
KIIP_geography_27,0,A,B,B
KIIP_geography_28,0,D,D,D
KIIP_geography_29,0,A,A,A
KIIP_geography_30,0,D,D,D
KIIP_geography_31,0,A,A,A
KIIP_geography_32,0,A,A,A
KIIP_geography_33,0,A,A,A
KIIP_geography_34,0,A,A,A
KIIP_geography_35,0,C,C,C
