category,answer,pred,response
Maritime-Engineering,B,C,C
Maritime-Engineering,A,C,C
Maritime-Engineering,D,A,A
Maritime-Engineering,A,D,D
Maritime-Engineering,D,B,B
Maritime-Engineering,D,C,C: 34.9%
Maritime-Engineering,A,B,B
Maritime-Engineering,C,A,A: 평균수면
Maritime-Engineering,C,C,C: 25㎜ 이상
Maritime-Engineering,C,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,C,C,C
Maritime-Engineering,C,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,A,A,A
Maritime-Engineering,B,B,B
Maritime-Engineering,C,D,D
Maritime-Engineering,D,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,D,A,A
Maritime-Engineering,A,D,D
Maritime-Engineering,D,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,D,C,C
Maritime-Engineering,B,D,D
Maritime-Engineering,D,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,C,B,B
Maritime-Engineering,C,C,C
Maritime-Engineering,A,A,A
Maritime-Engineering,B,D,D
Maritime-Engineering,D,B,B
Maritime-Engineering,A,A,A
Maritime-Engineering,D,C,C
Maritime-Engineering,D,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,A,C,C: 45㎜ 이상
Maritime-Engineering,B,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,B,A,A
Maritime-Engineering,C,B,B
Maritime-Engineering,B,A,A: 32㎜
Maritime-Engineering,B,D,D
Maritime-Engineering,B,D,D
Maritime-Engineering,B,C,C
Maritime-Engineering,A,A,A
Maritime-Engineering,A,A,A
Maritime-Engineering,A,C,C
Maritime-Engineering,C,D,D
Maritime-Engineering,B,D,D
Maritime-Engineering,C,C,C: 25㎜
Maritime-Engineering,A,A,A
Maritime-Engineering,B,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,D,B,B
Maritime-Engineering,C,A,A
Maritime-Engineering,A,B,B
Maritime-Engineering,B,D,D
Maritime-Engineering,B,A,A
Maritime-Engineering,A,C,C
Maritime-Engineering,C,D,D
Maritime-Engineering,B,D,D
Maritime-Engineering,A,D,D
Maritime-Engineering,A,A,A
Maritime-Engineering,A,D,D
Maritime-Engineering,D,C,C
Maritime-Engineering,B,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,B,A,A
Maritime-Engineering,D,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,B,C,C: 113.4 tonf
Maritime-Engineering,A,B,B
Maritime-Engineering,B,C,C
Maritime-Engineering,B,B,B
Maritime-Engineering,D,D,D
Maritime-Engineering,D,B,B
Maritime-Engineering,D,C,C
